ref_id,name,chassis_code,year,price_usd,price_jpy,mileage_km,engine_cc,fuel,transmission,steering,vehicle_type,options,has_sunroof,has_leather,has_navigation,has_alloy_wheels,has_4wd,has_airbag,has_abs,has_camera,location,date_listed,detail_url
CD356824,2025 DAIHATSU TAFT G,CD356824,2025,"$9,210",,47,660,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/daihatsu/taft/cd356824/id/15311173/?mfg_year_from=2018
CD356863,2024 SUZUKI JIMNY SIERRA JC,CD356863,2024,"$16,890",,3240,1500,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/suzuki/jimny-sierra/cd356863/id/15311215/?mfg_year_from=2018
CD356880,2022 BMW X3 XDRIVE20D,CD356880,2022,"$22,590",,52050,2000,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/bmw/x3/cd356880/id/15311232/?mfg_year_from=2018
CD356924,2023 TOYOTA HARRIER G,CD356924,2023,"$20,730",,22804,2000,,AT,,,,0,0,0,0,0,0,0,0,Toyama,,https://www.beforward.jp/toyota/harrier/cd356924/id/15311281/?mfg_year_from=2018
CD357096,2022 TOYOTA LAND CRUISER PRADO TXL,CD357096,2022,"$31,660",,19700,2700,,AT,,,,0,0,0,0,0,0,0,0,Nagoya,,https://www.beforward.jp/toyota/land-cruiser-prado/cd357096/id/15311460/?mfg_year_from=2018
CD357128,2018 TOYOTA LAND CRUISER PRADO TXL,CD357128,2018,"$28,340",,88693,2800,,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/toyota/land-cruiser-prado/cd357128/id/15311494/?mfg_year_from=2018
CD357024,2020 TOYOTA HARRIER Z,CD357024,2020,"$18,420",,46294,2000,,AT,,,,0,0,0,0,0,0,0,0,Toyama,,https://www.beforward.jp/toyota/harrier/cd357024/id/15311385/?mfg_year_from=2018
CD357078,2023 SUZUKI JIMNY SIERRA JC,CD357078,2023,"$16,430",,21734,1500,,MT,,,,0,0,0,0,0,0,0,0,Hokkaido,,https://www.beforward.jp/suzuki/jimny-sierra/cd357078/id/15311441/?mfg_year_from=2018
CD357083,2020 TOYOTA RAV4,CD357083,2020,"$19,080",,35917,2000,,AT,,,,0,0,0,0,0,0,0,0,Nagoya,,https://www.beforward.jp/toyota/rav4/cd357083/id/15311447/?mfg_year_from=2018
CD357134,2022 TOYOTA RAV4 PHV GZ,CD357134,2022,"$22,720",,45503,2500,,AT,,,,0,0,0,0,0,0,0,0,Nagoya,,https://www.beforward.jp/toyota/rav4-phv/cd357134/id/15311500/?mfg_year_from=2018
CD357231,2025 SUZUKI HUSTLER G,CD357231,2025,"$9,740",,13138,660,,AT,,,,0,0,0,0,0,0,0,0,Kyushu,,https://www.beforward.jp/suzuki/hustler/cd357231/id/15311599/?mfg_year_from=2018
CD357232,2025 SUZUKI HUSTLER G,CD357232,2025,"$9,740",,16334,660,,AT,,,,0,0,0,0,0,0,0,0,Kyushu,,https://www.beforward.jp/suzuki/hustler/cd357232/id/15311600/?mfg_year_from=2018
CD357238,2023 TOYOTA HARRIER HYBRID Z,CD357238,2023,"$25,370",,19643,2500,HYBRID,AT,,,,0,0,0,0,0,0,0,0,Yokohama,,https://www.beforward.jp/toyota/harrier-hybrid/cd357238/id/15311606/?mfg_year_from=2018
CD357244,2024 ROVER DEFENDER 110V8,CD357244,2024,"$83,980",,9330,5000,,AT,,,,0,0,0,0,0,0,0,0,Nagoya,,https://www.beforward.jp/rover/defender/cd357244/id/15311612/?mfg_year_from=2018
CD357257,2021 LEXUS RX L,CD357257,2021,"$27,990",,46583,3500,,AT,,,,0,0,0,0,0,0,0,0,Kyushu,,https://www.beforward.jp/lexus/rx/cd357257/id/15311625/?mfg_year_from=2018
CD357258,2023 BMW 2 SERIES 218I,CD357258,2023,"$20,270",,11749,1500,,AT,,,,0,0,0,0,0,0,0,0,Nagoya,,https://www.beforward.jp/bmw/2-series/cd357258/id/15311626/?mfg_year_from=2018
CD357276,2025 BMW X3 20DXDRIVEM,CD357276,2025,"$45,770",,2768,2000,,AT,,,,0,0,0,0,0,0,0,0,Nagoya,,https://www.beforward.jp/bmw/x3/cd357276/id/15311644/?mfg_year_from=2018
CD357286,2023 JEEP RENEGADE,CD357286,2023,"$18,130",,27811,1300,,AT,,,,0,0,0,0,0,0,0,0,Osaka,,https://www.beforward.jp/jeep/renegade/cd357286/id/15311654/?mfg_year_from=2018
